winter,date_posix_ts,canton,community,starting_zone_Y,starting_zone_X,elevation,aspect_id,aspect_string,activity,victims,caught,buried,danger_level
2012/13,1359846000,VS,Anniviers,615980,121090,2890,11,SW,1,1,1,1,3
2012/13,1359414000,FR,Semsales,566100,153950,1750,0,,1,1,1,1,3
2012/13,1358982000,GR,Alvaneu,767300,175425,2250,5,E,1,1,1,1,2
2012/13,1358550000,BE,Kandergrund,621030,154435,2690,13,W,1,1,2,1,2
2012/13,1356217200,SG,Vilters Wangs,748903,207068,2260,2,NNE,1,1,1,1,4
2012/13,1355871600,VS,Nendaz,588490,105960,2525,3,NE,2,1,4,1,3
2012/13,1352674800,GR,Pontresina,794694,143846,2740,1,N,2,1,1,1,0
2012/13,1351288800,GR,Pontresina,789985,139516,3950,3,NE,1,1,1,1,0
2011/12,1335304800,VS,Nendaz,589446,104771,2800,1,N,2,1,1,1,3
2011/12,1335132000,FR,Plaffeien,594610,167140,2100,16,NNW,1,1,2,0,2
2011/12,1334613600,VS,Anniviers,617077,115930,2900,15,NW,1,1,2,1,2
2011/12,1334613600,GR,Lavin,800875,186336,3305,9,S,1,1,3,1,2
2011/12,1333922400,VS,Bourg St Pierre,584959,82509,3500,12,WSW,1,1,1,0,3
2011/12,1330038000,NW,Stans,669890,198880,1340,1,N,3,1,1,1,2
2011/12,1329433200,GR,Davos,781585,189235,2480,3,NE,2,1,1,1,3
2011/12,1329001200,GR,Haldenstein,755024,195393,2499,5,E,1,1,1,0,3
2011/12,1328828400,VS,Obergoms,667364,155881,2530,7,SE,1,1,2,1,3
2011/12,1328742000,GR,Langwies,777427,185707,2300,2,NNE,1,1,1,0,3
2011/12,1328655600,NW,Hergiswil (NW),661820,203600,1940,15,NW,1,1,1,1,2
2011/12,1327618800,UR,Andermatt / Hospental,688080,164000,1800,15,NW,2,1,1,1,2
2011/12,1325545200,GR,Avers,764540,143425,2820,3,NE,1,2,4,3,3
2011/12,1325113200,GR,Celerina / Schlarigna,780130,155335,2995,5,E,1,1,2,1,3
2011/12,1324594800,GR,Bever,774959,155358,2690,3,NE,1,1,1,1,3
2011/12,1324335600,VS,Fully,574750,112500,2000,7,SE,3,1,1,1,0
2011/12,1323558000,VS,Saas Almagell,640695,94350,2970,3,NE,1,1,2,1,3
2011/12,1323212400,VS,Saas Fee,636700,101570,3100,1,N,3,1,2,2,0
2010/11,1301608800,VS,Anniviers,616268,113657,2820,15,NW,1,3,7,4,2
2010/11,1301094000,VS,Bourg Saint Pierre,583450,86631,2190,3,NE,1,5,10,9,3
2010/11,1300575600,BE,Grindelwald,646651,169102,2430,11,SW,2,1,1,1,3
2010/11,1300575600,VS,Zermatt,628880,90093,2630,14,WNW,1,1,2,1,3
2010/11,1300489200,GR,Davos,792110,184860,2770,13,W,1,3,4,4,3
2010/11,1299970800,VS,Bourg Saint Pierre,581700,82940,2120,3,NE,1,2,2,2,3
2010/11,1299884400,VS,Zermatt,630165,94580,2740,14,WNW,1,2,3,3,2
2010/11,1299711600,BE,Saxeten,631125,162735,2270,15,NW,1,1,1,1,2
2010/11,1298934000,BE,Gsteig,587110,134900,2080,3,NE,2,1,3,2,3
2010/11,1298934000,VS,Mollens,605470,134550,2925,3,NE,2,1,1,0,3
2010/11,1296860400,UR,Erstfeld,686310,187310,1680,2,NNE,1,1,1,1,2
2010/11,1296428400,BE,Adelboden,612270,145420,2870,11,SW,1,2,2,2,2
2010/11,1295132400,GL,Glarus Süd,726050,197475,2750,11,SW,1,1,3,1,2
2010/11,1293404400,UR,Andermatt,692750,168780,2280,7,SE,1,1,1,1,3
2010/11,1292713200,UR,Unterschächen,700100,187540,1700,5,E,1,1,1,1,3
2009/10,1275775200,BE,Kandersteg,623340,148125,2520,1,N,1,1,3,0,0
2009/10,1271541600,VS,Zermatt,627300,89750,2780,2,NNE,2,1,2,1,1
2009/10,1270591200,VS,Anniviers,617800,111700,2950,15,NW,1,1,2,1,2
2009/10,1270418400,TI,Capriasca,722440,107660,1610,8,SSE,1,1,1,1,3
2009/10,1270245600,GR,Bergün Bravuogn ,786460,166240,3350,5,E,1,1,2,0,3
2009/10,1267311600,GR,Langwies,776517,186500,2225,2,NNE,1,1,1,1,3
2009/10,1267225200,VS,Bagnes,582480,100040,1625,3,NE,2,1,1,1,3
2009/10,1267138800,VS,Törbel,628130,120280,2810,2,NNE,1,1,1,1,3
2009/10,1267052400,GR,Avers,760950,148860,2360,15,NW,1,1,1,1,3
2009/10,1266706800,GR,Scuol,821220,183750,2470,14,WNW,1,1,1,1,3
2009/10,1266620400,BE,Saxeten,630900,162750,2100,14,WNW,1,1,1,1,2
2009/10,1266620400,UR,Realp,679350,157080,2170,15,NW,1,1,1,1,3
2009/10,1266620400,GR,Safien,738644,164009,2364,6,ESE,1,2,9,4,3
2009/10,1266102000,GR,Sils im Engadin Segl ,774520,145520,2640,9,S,1,1,2,2,2
2009/10,1265497200,GR,Peist,774100,191360,2390,12,WSW,1,1,2,1,3
2009/10,1265238000,BE,Lauterbrunnen,632580,162150,2170,1,N,1,1,1,1,3
2009/10,1264892400,SG,Amden,733940,224340,1680,3,NE,1,1,1,1,3
2009/10,1264892400,VS,Anniviers,607530,115830,2740,7,SE,2,1,1,1,3
2009/10,1264892400,BE,Adelboden,605115,144510,1810,15,NW,2,1,1,1,3
2009/10,1262473200,VS,Liddes,581570,97700,2380,6,ESE,1,1,2,1,3
2009/10,1262473200,BE,Diemtigen,607710,152840,2320,15,NW,1,7,12,12,2
2009/10,1261350000,VS,Trient,563332,98213,2150,1,N,2,1,2,1,3
2008/09,1244844000,GR,Poschiavo,794570,139460,3770,7,SE,1,3,3,0,0
2008/09,1243202400,VS,Saas Fee,634750,106440,3270,9,S,1,1,1,0,0
2008/09,1240783200,VS,Trient ,568740,95000,3000,15,NW,1,1,7,3,2
2008/09,1238536800,GR,Samnaun,823950,206670,2440,1,N,2,1,1,1,2
2008/09,1238536800,BE,Kandersteg,614400,146250,1900,6,ESE,1,1,2,1,2
2008/09,1237503600,VS,Liddes,584980,92300,2690,15,NW,2,1,1,1,2
2008/09,1236985200,VS,Nax,604250,117800,2300,3,NE,1,1,1,1,3
2008/09,1236985200,SG,Amden,735120,224160,1680,15,NW,1,1,1,1,3
2008/09,1236726000,LU,Luthern,638105,206090,1400,1,N,1,1,1,1,3
2008/09,1236380400,LU,Hasle,646800,199025,1455,15,NW,2,1,1,1,3
2008/09,1235775600,SG,Altstätten,756820,239460,725,7,SE,1,1,1,1,3
2008/09,1234738800,GR,Klosters Serneus ,788510,187940,2380,2,NNE,2,1,1,1,3
2008/09,1234652400,GR,Saas,788650,199800,2380,13,W,1,2,3,3,3
2008/09,1234306800,VS,Nendaz,591320,106541,2240,13,W,1,3,4,4,3
2008/09,1232838000,VS,Nendaz,591640,104090,2780,3,NE,2,1,2,1,3
2008/09,1232838000,BE,Hasliberg,662980,177600,2200,1,N,2,1,2,1,3
2008/09,1232406000,VS,Zermatt,621720,94300,2250,3,NE,2,1,3,1,3
2008/09,1229986800,GR,Lantsch Lenz,765450,179050,2840,9,S,2,1,1,1,3
2008/09,1229814000,VS,Chandolin,612982,123058,2447,13,W,2,1,2,1,3
2008/09,1229209200,AI,Schwende,752170,238140,1570,7,SE,1,1,2,0,3
2008/09,1229209200,VS,Trient,567450,98575,2200,11,SW,1,1,3,1,3
2008/09,1228690800,VS,Nendaz,591787,103949,2743,3,NE,2,1,3,1,3
2008/09,1227654000,VD,Ormont Dessous,583080,131400,2780,14,WNW,2,1,1,1,2
2007/08,1210024800,UR,Unterschächen,703780,192135,1590,9,S,3,1,2,0,1
2007/08,1209765600,AI,Schwende,749451,239216,1450,5,E,1,1,1,0,2
2007/08,1208556000,VS,Val dIlliez,560220,112400,2950,15,NW,1,1,3,0,2
2007/08,1208296800,GR,Poschiavo,805530,144950,3060,11,SW,1,1,4,2,2
2007/08,1205794800,GR,Bergün,774890,160150,3110,4,ENE,1,1,1,1,2
2007/08,1200697200,VS,Zermatt,628010,98440,3100,11,SW,3,1,3,1,3
2007/08,1200351600,VS,Zermatt,626600,94370,2520,3,NE,2,1,1,1,3
2007/08,1200178800,GR,Pontresina,794190,142870,2830,11,SW,1,1,1,1,4
2007/08,1200178800,GR,Klosters-Serneus,780920,191190,2480,14,WNW,2,1,3,2,3
2007/08,1199314800,BE,Lenk,606375,141060,2200,2,NNE,1,1,1,1,2
2007/08,1196722800,FR,Grandvillard / Bas Intyamon,577170,154560,1970,1,N,1,1,1,1,3
2006/07,1184191200,BE,Lauterbrunnen,640275,153890,4000,7,SE,1,6,14,0,0
2006/07,1174777200,OW,Engelberg,675645,181984,2500,15,NW,2,1,1,1,3
2006/07,1174777200,GR,Susch,792475,176145,2620,1,N,1,1,1,1,2
2006/07,1174690800,VS,Mollens,606150,135090,2460,5,E,2,1,4,1,3
2006/07,1173654000,VS,Zermatt,630120,94500,2740,15,NW,1,1,1,1,2
2006/07,1173481200,VS,Savièse,593500,132600,2800,16,NNW,1,1,3,2,2
2006/07,1172962800,GR,Klosters Serneus,781250,192370,2440,3,NE,2,1,1,1,3
2006/07,1172962800,VS,Zermatt,628070,93100,3220,13,W,2,1,1,1,3
2006/07,1172962800,VD,Chateau dOex,578070,136850,2400,3,NE,1,1,2,1,3
2006/07,1171580400,VS,Anniviers,607830,116300,2660,5,E,2,1,1,1,3
2006/07,1171407600,VS,Bagnes,581310,98660,2300,16,NNW,2,2,2,2,3
2006/07,1171321200,VD,Leysin,566494,134416,2000,6,ESE,2,1,1,1,3
2006/07,1168210800,SG,Mels,749130,203980,2570,13,W,1,1,1,1,3
2006/07,1168038000,GR,S chanf,796250,170725,2090,4,ENE,1,1,1,1,3
2006/07,1167606000,BE,Lauenen,592870,136660,2000,13,W,1,1,2,1,3
2005/06,1142722800,VS,Bourg Saint Pierre,581390,83020,2010,16,NNW,2,1,2,1,2
2005/06,1142550000,GR,Susch,792765,175870,2635,2,NNE,1,1,4,1,3
2005/06,1142290800,BE,Hasliberg,660250,178520,1950,1,N,2,1,3,3,3
2005/06,1142204400,GR,Davos,780870,178225,2330,12,WSW,2,1,2,1,3
2005/06,1141945200,BE,Adelboden,606080,144200,1980,14,WNW,2,1,1,1,3
2005/06,1141686000,VS,Zermatt,628180,93600,3000,1,N,2,1,2,1,3
2005/06,1141599600,BE,Lauterbrunnen,630960,156220,2720,6,ESE,2,1,1,0,3
2005/06,1141426800,VD,Ormont Dessus,581500,135080,2100,14,WNW,1,1,2,1,4
2005/06,1140822000,VS,Zermatt,626900,93020,2960,2,NNE,2,1,1,1,3
2005/06,1140649200,GR,Tujetsch,703440,167260,2400,13,W,1,1,1,1,3
2005/06,1140562800,VS,Collombey Muraz,557650,123135,2000,16,NNW,1,1,1,1,2
2005/06,1140476400,VS,Orsières,574895,86650,2060,1,N,2,1,1,1,3
2005/06,1140390000,GR,Disentis Mustér,704715,174299,2110,1,N,2,3,4,3,3
2005/06,1140303600,VS,Zermatt,627200,93900,2820,15,NW,2,1,1,1,3
2005/06,1140303600,GR,Poschiavo,798975,130000,2140,3,NE,1,1,1,1,3
2005/06,1138575600,GR,Riom Parsonz,760770,158800,2170,2,NNE,2,1,1,1,2
2005/06,1137798000,SG,Quarten,736289,214918,2000,16,NNW,2,1,4,1,3
2005/06,1137798000,BE,Rüschegg,597630,172375,1835,16,NNW,1,1,1,1,3
2005/06,1137711600,OW/LU,Giswil / Flühli,647330,182660,2020,2,NNE,2,1,2,1,3
2005/06,1136674800,VD,Bex,577720,121540,2710,12,WSW,1,1,2,1,2
2005/06,1136242800,VS,Nendaz,591150,104480,2850,1,N,2,1,1,1,3
2005/06,1135897200,GR,Zuoz,792130,166510,2680,7,SE,1,1,1,1,2
2004/05,1114120800,VS,Bagnes,583880,95375,3050,2,NNE,1,1,3,1,3
2004/05,1114034400,VS,Hérémence,592950,108640,2900,1,N,1,2,4,3,2
2004/05,1110754800,GL,Obstalden,731200,215420,1780,15,NW,1,3,3,3,3
2004/05,1110668400,SG,Alt St Johann,737700,229280,1350,15,NW,1,1,1,1,3
2004/05,1110582000,BE,Grindelwald,649430,169310,2380,8,SSE,1,1,2,1,2
2004/05,1110409200,GR,Siat,730420,189210,2010,7,SE,2,1,1,1,3
2004/05,1110409200,VS,Saas Fee,634360,102670,3290,4,ENE,1,1,1,1,3
2004/05,1109286000,VS,Saint Gingolph,550440,134450,1460,14,WNW,1,2,3,2,3
2004/05,1108854000,GR,Churwalden,762370,186190,1930,14,WNW,2,1,2,1,3
2004/05,1107817200,GR,Vals,734075,161490,1940,2,NNE,1,1,1,1,2
2004/05,1107644400,GR,Madulain,789320,163100,2470,4,ENE,1,2,2,2,3
2004/05,1107558000,GR,Klosters Serneus,790070,189980,2485,1,N,1,1,1,1,3
2004/05,1107558000,GR,Davos,782170,176400,2805,15,NW,1,1,2,2,3
2004/05,1106434800,VS,Saas Fee,637125,104335,2325,15,NW,2,1,1,1,3
2004/05,1106434800,VS,Lens / Icogne,602450,131200,2120,15,NW,2,2,2,2,3
2004/05,1104361200,BE,St Stephan,605415,150110,2260,16,NNW,1,1,1,1,3
2004/05,1104361200,VS,Bagnes,601800,92100,3220,8,SSE,1,1,2,1,3
2004/05,1104102000,VS,Riddes,587650,106025,2700,1,N,2,1,1,1,3
2004/05,1104015600,GR,Sent,814910,196340,2610,2,NNE,1,1,1,1,3
2004/05,1103670000,SZ,Oberiberg,705460,206570,2120,1,N,1,1,2,1,3
2003/04,1086386400,TI,Airolo,684760,157755,2160,8,SSE,1,1,2,0,0
2003/04,1077318000,VS,Liddes,579850,90750,2160,16,NNW,1,1,2,1,2
2003/04,1076799600,GR,Davos,783155,178495,2120,3,NE,2,1,1,0,2
2003/04,1074985200,VS,Bagnes,589800,102760,2950,11,SW,2,1,1,1,3
2003/04,1074294000,VS,Bagnes,586450,106000,2650,12,WSW,2,1,4,4,3
2003/04,1074121200,GR,Tschierv,815545,168400,2400,6,ESE,1,1,3,2,3
2003/04,1073170800,VS,Gampel,621130,134450,2730,7,SE,1,1,1,1,2
2003/04,1072738800,BE,Adelboden,611050,143810,2300,11,SW,1,2,3,2,3
2003/04,1072652400,GR,Davos,780788,178439,2260,15,NW,2,1,11,2,3
2003/04,1071788400,GR,Tschierv,815580,168430,2385,6,ESE,1,1,2,2,2
2002/03,1050703200,VS,Ayer,611490,110325,2760,5,E,2,1,1,1,1
2002/03,1050357600,VS,Bagnes,590500,93500,2990,3,NE,2,1,1,0,2
2002/03,1046041200,GR,Juf,763750,144700,2730,4,ENE,1,1,2,1,1
2002/03,1044918000,VS,Grimentz,611100,111060,2680,12,WSW,2,1,1,0,3
2002/03,1044831600,UR,Andermatt,689920,164260,1980,2,NNE,2,1,1,1,3
2002/03,1044745200,GR,Samedan,791475,155990,2960,11,SW,1,1,1,1,3
2002/03,1044658800,VS,Simplon,643480,120900,2100,7,SE,1,1,4,2,3
2002/03,1044399600,VS,Orsières,573945,97175,1950,3,NE,2,4,5,4,4
2002/03,1044313200,GR,Davos,784010,184135,2380,3,NE,2,1,1,1,3
2002/03,1042153200,GR,Lantsch Lenz,765550,179000,2810,8,SSE,2,1,1,1,2
2002/03,1041807600,GR,Davos,782445,189945,2245,5,E,2,1,1,1,3
2002/03,1041807600,VS,Bourg St Pierre,584410,88215,2750,12,WSW,1,3,3,3,3
2002/03,1041116400,GR,Riom Parsonz,760610,158875,2220,2,NNE,2,2,5,2,3
2002/03,1036278000,VS,Fieschertal,642025,155320,3480,7,SE,1,1,2,1,0
2001/02,1029189600,BE,Lauterbrunnen,642300,158500,2900,13,W,1,1,2,0,0
2001/02,1019944800,VS,Ulrichen,668120,144620,3020,1,N,1,1,1,1,2
2001/02,1019944800,GR,Davos,792250,174500,3050,1,N,1,1,1,1,2
2001/02,1019858400,VS,Bourg St Pierre,584990,82500,3600,11,SW,1,2,2,0,2
2001/02,1019340000,BE,Kandersteg,622480,146620,3450,15,NW,1,1,1,1,2
2001/02,1015369200,VD,Château dOex,578060,136900,2450,3,NE,1,1,1,1,2
2001/02,1015282800,BE,Gsteig bei Gstaad,584920,133250,1900,2,NNE,2,1,1,1,3
2001/02,1015282800,GR,Scuol,820305,172570,2750,6,ESE,1,3,5,4,3
2001/02,1014850800,VS,Martisberg,649990,138880,2070,5,E,2,1,1,1,3
2001/02,1014591600,VS,Evolène,602150,97240,2480,7,SE,2,1,2,1,3
2001/02,1014505200,VS,Bagnes,581530,98960,2200,1,N,2,1,1,1,3
2001/02,1013554800,BE,Lauterbrunnen,632420,156760,2450,5,E,2,1,1,1,2
2001/02,1012604400,GR,Tschiertschen,764500,182530,2500,15,NW,2,1,1,1,2
2001/02,1012345200,UR,Gurtnellen,695470,172410,2910,16,NNW,1,1,1,1,2
2001/02,1010876400,GR,Davos,782410,190070,2240,5,E,2,1,1,1,2
2001/02,1010876400,BE,Reichenbach,629110,152420,2975,14,WNW,1,2,3,1,1
2001/02,1010012400,GR,Klosters Serneus,781200,192100,2400,13,W,2,1,1,1,3
2001/02,1009926000,BE,Diemtigen,606860,155025,2360,16,NNW,1,1,1,1,3
2001/02,1009753200,VS,Nendaz,588100,105750,2700,2,NNE,2,1,4,1,3
2001/02,1009494000,SG,Flums,737590,214575,2060,8,SSE,2,1,1,1,3
2000/01,993247200,BE,Grindelwald,644670,159240,3340,8,SSE,1,2,2,1,0
2000/01,990655200,BE,Lauterbrunnen,641150,157050,2740,15,NW,1,1,2,1,0
2000/01,990223200,GR,Pontresina,794140,139530,3800,1,N,1,2,2,1,0
2000/01,985816800,GR,Medel Lucmagn,714960,165200,2540,16,NNW,1,1,4,3,2
2000/01,984438000,VS,Simplon,646720,120110,2500,11,SW,1,1,1,1,3
2000/01,983746800,GR,Splügen,747380,154290,2660,1,N,1,1,3,2,3
2000/01,983228400,GR,Arosa,767380,179800,2380,1,N,2,1,2,1,3
2000/01,983228400,NW,Emmetten,680450,196930,2140,1,N,1,1,2,2,3
2000/01,982969200,SZ,Oberiberg,700715,207810,1660,1,N,2,1,2,1,4
2000/01,982882800,VS,Mühlebach,657630,139535,2220,16,NNW,2,1,2,0,3
2000/01,982796400,GR,Fuldera,822680,165090,2300,3,NE,1,2,7,3,2
2000/01,981846000,TI,Bedretto,679225,151115,2540,8,SSE,1,3,3,3,2
2000/01,981414000,VS,Trient,563230,98215,2180,1,N,2,3,5,4,3
2000/01,981241200,GR,Samnaun,822530,204160,2060,8,SSE,3,1,1,1,3
2000/01,981241200,SZ,Oberiberg,705430,206700,1980,1,N,1,1,1,1,4
2000/01,981241200,VS,Leukerbad,615930,141350,2800,11,SW,1,1,2,2,3
2000/01,981154800,VS,Ayer,613920,106840,2500,3,NE,1,1,5,1,2
2000/01,981154800,VS,Ayer,613170,106750,3000,5,E,1,2,8,3,2
2000/01,980636400,BE,Gsteig,587540,134950,2000,1,N,1,1,3,1,3
2000/01,979599600,VS,Blitzingen,655530,146940,2990,7,SE,1,1,1,1,2
2000/01,979340400,GR,Celerina,783650,156080,2800,9,S,1,1,1,1,2
2000/01,979340400,VS,Chandolin,614100,121230,2560,14,WNW,2,1,1,1,2
2000/01,973983600,VS,Trient,565265,95050,2920,1,N,2,1,2,1,3
